matter_category_arabic,matter_category_english
استشارات,Consultations
اقتصادي,Economic
إجراءات,Procedures
إداري,Administrative
إلتماس,Petition
أحوال شخصية,Personal Status
أسرة,Family
بنوك,Banks
تجاري,Commercial
تحكيم رياضي,Sports Arbitration
تعويضات,Compensations
جنايات,Felonies
جنح,Misdemeanors
حكومي,Governmental
رأي قانوني,Legal Opinion
رياضي,Sports
شركات,Companies
شق مستعجل,Urgent Matters
ضرائب,Taxes
طلب قانوني,Legal Request
عقود,Contracts
عمال,Labor
فض منازعات,Dispute Resolution
لجنة تظلمات,Grievance Committee
لجنة تفتيش,Inspection Committee
مدني,Civil
منازعة تنفيذ,Execution Dispute
