client_capacity_arabic,client_capacity_english
مشكو في حقه,Accused Party
متدخل هجومي,Aggressive Intervener
مستأنف,Appellant
مقدم الطلب,Applicant
محتكم,Arbitrant
طاعن,Challenger
مدعي بالحق المدني,Civil Rights Plaintiff
شاكي,Complainant
دائنة,Creditor
متهم,Accused (Criminal)
مدعى عليه,Defendant (Civil)
متظلم,Grievant
طالب المعاين,Inspection Petitioner
متدخل,Intervener
خصم متدخل إنضمامي,Supporting Intervener (Opposing Party)
متدخل إنضمامي,Supporting Intervener
خصم مدخل,Joined Party
منذر,Notifier
مستشكل,Objector
جاني,Offender
طالب,Petitioner
مدعي,Plaintiff
طالب الرد,Recusal Petitioner
مسجل,Registrar
ملتمس,Requester
مستأنف ضده,Respondent
محتكم ضده,Respondent in Arbitration
مطعون ضده,Respondent to Appeal
متظلم ضده,Respondent to Grievance
ملتمس ضده,Respondent to Request
مجني عليه,Victim
شاهد,Witness
