matter_court in arabic,matter_court in english
6 أكتوبر,6th of October
استئناف 6 أكتوبر,6th of October Court of Appeals
استئناف الجيزة,Giza Court of Appeals
استئناف الزقازيق,Zagazig Court of Appeals
استئناف القاهرة,Cairo Court of Appeals
استئناف شبين الكوم,Shebeen El Kom Court of Appeals
استئناف شمال الجيزة,North Giza Court of Appeals
استئناف شمال القاهرة,North Cairo Court of Appeals
استئناف عالي المنصورة,Mansoura High Court of Appeal
الإدارية العليا,Supreme Administrative Court
الإسكندرية,Alexandria
الإسكندرية الاقتصادية,Alexandria Economic
البساتين الجزئية,El Basatin Partial
الجيزة الابتدائية,Giza Primary
الدقي,Dokki
الدقي الجزئية,Dokki Partial
العبور الجزئية,El Obour Partial
العجوزة,Agouza
القاهرة الاقتصادية,Cairo Economic Court
القاهرة الجديدة,New Cairo
القاهرة للأمور المستعجلة,Cairo Court of Urgent Matters
القضاء الإداري بالإسكندرية,Administrative Judiciary in Alexandria
القضاء الإداري بالعباسية,Administrative Judiciary in Abbasiya
المنصورة,Mansoura
النزهة الجزئية,El Nozha Partial
النقض,Court of Cassation
الهيئة العامة للاستثمار والمناطق الحرة,General Authority for Investment and Free Zones
إمبابة الجزئية,Imbaba Partial
جنح منفلوط,Misdemeanors of Manfalout
جنوب الجيزة,South Giza
جنوب القاهرة,South Cairo
حلوان,Helwan
رشيد الكلية,Rashid General Court
شبين الكوم,Shebeen El Kom
شمال الجيزة,North Giza
شمال القاهرة,North Cairo
شمال القاهرة الإبتدائية,North Cairo Primary
شمال أسيوط,North Assiut
قسم شرطة مصر الجديدة,Heliopolis Police Station
قصر النيل,Kasr El-Nil
مصلحة الضرائب,Tax Authority
نقابة الأطباء,Medical Syndicate
نيابة 6 أكتوبر,6th of October Public Prosecution
نيابة الأموال العامة العليا,Supreme Public Funds Prosecution
نيابة الزقازيق,Zagazig Public Prosecution
نيابة الشئون المالية والتجارية,Public Prosecution for Financial and Commercial Affairs
نيابة العامرية ثاني,El Amriya II Public Prosecution
نيابة الهرم,El Haram Public Prosecution
نيابة شبين الكوم,Shebin El-Kom Public Prosecution
نيابة مدينة نصر أول الجزئية,Nasr City First Partial Public Prosecution
هيئة الاستثمار - لجان فض المنازعات,General Authority for Investment - Dispute Resolution Committees
"هيئة الرقابة المالية، والبورصة المصرية","Financial Regulatory Authority, and the Egyptian Stock Exchange"
